sitrep,report_date,suspected_cases,suspected_deaths,confirmed_cases,confirmed_deaths,samples_received,samples_analysed,positives,new_daily_suspects,new_daily_suspected_deaths,patients_isolated,cumul_recovered,notes
046,2026-06-29,,,1333,399,,,,309,90,609,189,"confirmed-based format; banner Cumul cas confirmes 1333 (Donnees reactualisees a la suite du processus de nettoyage et d'harmonisation de la base DHIS2), Cumul deces confirmes 399 (page-1 lethality tile 29.7%, Tableau 1 total 29.9%), patients en isolement 609 (92.7% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 451 / Nord-Kivu 135 / Sud-Kivu 23 = 609), cumul gueris 189 (section 4.5 dont 176 Ituri, 11 Nord-Kivu, 2 Sud-Kivu; +11 over 178 spanning unpublished 28 June), cas suspects du jour 309 (90 deces on the page-1 tile and Tableau 3 alertes validees Decedees Ituri 58 + Nord-Kivu 32 = 90; the section-4.2 narrative sentence says 87 deces, but tile/Tableau 3/INRB CSV agree on 90), taux de suivi contacts 82.7%; 26 new confirmed incl 8 deaths (FAITS SAILLANTS mislabels the count as Dix-Sept (26); 26 is correct: Ituri 17 incl 4 deaths: Bunia 14, Nizi 2, Lita 1; Nord-Kivu 9 incl 4 deaths: Katwa 7, Butembo 1, Musienene 1), net cumulative +59 (1274->1333) spanning unpublished SitRep 045 (28 June) and 29 June; plus 14 in-care CTE deaths (13 Ituri: 4 CTE Elikya, 4 CTE CME, 2 Mongbwalu, 2 Nyankunde, 1 ISTM; 1 Nord-Kivu at CTE Beni), net deaths +39 (360->399); spatial table Ituri 1214/335, Nord-Kivu 116/63, Sud-Kivu 3/1 = 1333/399; no new zone de sante (35/104 unchanged); Tableau 6 admissions 82 (Ituri 68 + Nord-Kivu 11 + Sud-Kivu 3), deces 18, non-cas 33, gueris 9, evades 5, transferes HGR 0, total sorties 63 printed but component sum 65 (18+33+9+5+0); balance au-lit J-1 610 + admissions 82 - sorties = Fin J 609 does NOT close (610+82-63=629, 610+82-65=627), an internal Tableau 6 inconsistency this vintage, Fin J 609 taken from the page-1 headline; lab 4.3 national 24h analysed Ituri 64 (26.6% positive n=17) + Nord-Kivu 77 analysed of 97 received (11.7% positive n=9, 20 backlog excluded) + Sud-Kivu 0 collected/analysed = 141 (clean national total, every reporting province gives an analysed count; confirmed increment 26 <= 141, and the 24h positives 17+9+0=26 equal the days new-confirmed headline), INCLUDED in the 24h analysed series; SitRep 045 (28 June) not published upstream (series steps 27->29 June); beyond cut-off"
047,2026-06-30,,,1406,438,,,,301,77,609,208,"confirmed-based format; banner Cumul cas confirmes 1406 (Donnees reactualisees a la suite du processus de nettoyage, reclassification et d'harmonisation de la base DHIS2), Cumul deces parmi les confirmes 438 (page-1 letalite 31,2%), patients en isolement 609 (92,7% bed occupancy; byte-identical to 29 June and no Tableau Fin J / Tableau 6 breakdown this vintage - likely a non-refreshed carry-forward, so recorded here but EXCLUDED from the fitted isolation/bed-capacity series), cumul gueris 208, cas suspects du jour 301 (headline (90 deces); Tableau 3 Decedees Ituri 43 + Nord-Kivu 34 = 77 used for the suspect-deaths series, the headline 90 repeats 29 June and = the Nord-Kivu cas-suspects cell, a likely data-entry error, per the 23 May zone-sum precedent), taux de suivi des contacts 82,5%; 73 new confirmed incl 25 deaths (Ituri 69 incl 22 deaths: Bunia 29, Nizi 20, Rwampara 6, Mongbwalu 6, Komanda 2, Nyankunde 1, Tchomia 1, Mandima 1, Nia-Nia 1, Kambala 1, Lolwa 1; Nord-Kivu 4 incl 3 deaths: Katwa 2, Beni 2), net cumulative +73 (1333->1406); plus 14 in-care CTE deaths (Ituri 9: CTE Bunia 5, CTE Mongbwalu 2, CT Bambu 1, CTE Elikya 1; Nord-Kivu 5: CTE Katwa 4, CTE Beni 1), net deces +39 (399->438); cumul gueris +19 (all Ituri); 1 new ZS (Lolwa, Ituri; 36 ZS touchees); investigation note: 2 cas confirmes rattaches a Wamba ZS/Haut-Uele (1 deces, 1 vivant en fuite) et 1 a Tshopo (femme enceinte 24 ans, decedee, corps transporte clandestinement a Kisangani), tous reattribues a Nia-Nia ZS (Ituri, AS Abanagomu); SitRep 047 publishes NO Tableau 6 patient-movement table (no admissions/deces/non-cas/gueris/evades/au-lit) and no isolement Fin J table, so the treatment-flow series are not extended past 29 June; lab 4.3 national 24h analysed Ituri 109 (63,3% positive n=69) + Nord-Kivu 135 (3% positive n=4) + Sud-Kivu 0 (1 collected, en cours d'analyse) = 244 (clean national total; confirmed increment 73 <= 244, 24h positives 69+4+0=73 = day new-confirmed headline), INCLUDED in the 24h analysed series; SitRep 047 (30 June) directly follows 046 (29 June), no gap; beyond cut-off"
048,2026-07-01,,,1460,452,,,,150,41,641,213,"confirmed-based format; banner Cumul cas confirmes 1460, Cumul deces parmi les confirmes 452 (30,9% letalite), patients en isolement-hospitalisation 641 (97,8% bed occupancy), cumul gueris 213, cas suspects du jour 150 (41 deces), taux de suivi des contacts 82,7%; 54 new confirmed incl 9 deaths (Ituri 50 incl 9 deaths: Bunia 29, Rwampara 7, Mongbwalu 6, Nizi 4, Lita 1, Komanda 1; Nord-Kivu 4: Katwa 2, Beni 2), net cumulative +54 (1406->1460); net deces +14 (438->452) = 9 community deaths among the day's new confirmed + 5 notified CTE deaths in Ituri (3 CTE Bunia, 1 CTE Mongbwalu, 1 CTE Rwampara) [Tableau 1 footnote alternatively attributes the 14 as 5 Ituri + 5 Nord-Kivu CTE deaths among prior confirmed - internal breakdown inconsistency, but the cumulative headline 452 matches the INRB national CSV]; cumul gueris 213 (+5 net over 208, matches INRB CSV; FAITS SAILLANTS reports 21 patients declares gueris - Ituri 19: 7 CTE Elikya, 6 CTE Mongbwalu, 4 CTE ISTM, 2 CTE CME; Nord-Kivu 2 CTE Katwa - the +5 net vs 21 newly-declared reflects a downward harmonisation of the cumulative, tile 213 used); spatial table Tableau 1 Ituri 1333/380, Nord-Kivu 124/71, Sud-Kivu 3/1 = 1460/452; 36/104 ZS touchees unchanged (Ituri 24, Nord-Kivu 11, Sud-Kivu 1); securite: incident au PK51 (ZS Nia-Nia, Ituri); no national cumulative suspected total; lab Tableau 4 (section 4.4 Laboratoire) national 24h analysed Ituri 132 (37,9% positive n=50) + Nord-Kivu 96 (4,2% positive n=4) + Sud-Kivu 0 analysed (2 collected, en cours d'analyse, contributes 0 like a pending province) = 228 (clean national total - every reporting province gives an analysed count; confirmed increment 54 <= 228, and the 24h positives 50+4+0=54 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; suspect-deaths headline 41 agrees with the INRB CSV (no discrepancy this vintage, unlike 30 June); SitRep 048 (1 July) directly follows 047 (30 June), no gap; beyond cut-off"
049,2026-07-02,,,1502,473,,,,213,63,628,229,"confirmed-based format; banner Cumul cas confirmes 1502 (Donnees reactualisees a la suite du processus de nettoyage et d'harmonisation de la base DHIS2), Cumul deces parmi les confirmes 473 (31,5% letalite), patients en isolement-hospitalisation 628 (89,4% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 462 / Nord-Kivu 147 / Sud-Kivu 19 = 628), cumul gueris 229 (+16 over 213; FAITS SAILLANTS 16 declares gueris - Ituri 15: 6 CTE Mongbwalu, 3 CTE CME, 3 CTE Bunia, 2 CT Bambu, 1 CTE Rwampara; Nord-Kivu 1 CTE Katwa - equal to the Tableau 6 Gueris in-care outflow 16), cas suspects du jour 213 (63 deces; Tableau 3 Total des cas suspects du jour Ituri 150 + Nord-Kivu 61 + Sud-Kivu 2 = 213, alertes validees Decedees Ituri 45 + Nord-Kivu 18 + Sud-Kivu 0 = 63), taux de suivi des contacts 81,8%; 42 new confirmed incl 7 community deaths (Ituri 33 incl 5 deaths: Rwampara 14, Bunia 10, Mongbwalu 3, Bambu 2, Mandima 2, Lita 1, Tchomia 1; Nord-Kivu 9 incl 2 deaths: Butembo 4, Katwa 2, Beni 2, Kyondo 1), net cumulative +42 (1460->1502); plus 14 in-care CTE/CT deaths (Ituri 13: 6 CTE Mongbwalu, 3 CTE Bunia, 2 CTE Rwampara, 1 CTE ISTM, 1 CTE CME; Nord-Kivu 1: CTE Katwa), net deces +21 (452->473); spatial table Ituri 1366/397, Nord-Kivu 133/75, Sud-Kivu 3/1 = 1502/473 (Tableau 1 letalite Ituri 29,1%, Nord-Kivu 56,4%, Sud-Kivu 33,3%, total 31,5%); aucune nouvelle zone de sante (reste 36/104: Ituri 24, Nord-Kivu 11, Sud-Kivu 1); Tableau 6 RESTORED this vintage after being absent on 30 June (047) and 1 July (048): au-lit J-1 644 (Ituri 487 + Nord-Kivu 135 + Sud-Kivu 22), admissions 72 (51+21+0), deces 16 (15+1+0), non-cas 55 (45+7+3), gueris 16 (15+1+0), evades 1 (1+0+0), transferes HGR 0, total sorties 88 (76+9+3), Fin J 628 (462+147+19), dont confirmes 215, dont suspects 413, balance 644+72-88=628 closes; the treatment-flow series (admissions 72, deces 16, non-cas 55, evades 1, au-lit J-1 644) are extended to 2 July in observations.toml, resuming after the 30 June-1 July gap when SitReps 047/048 dropped Tableau 6 (per @seabbs: handle Tableau 6 as a model vintage); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 100 (33% positive n=33) + Nord-Kivu 94 (9,6% positive n=9) + Sud-Kivu 2 (0 positive) = 196 (clean national total - every reporting province gives an analysed count, no pending caveat; confirmed increment 42 <= 196, and the 24h positives 33+9+0=42 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; installation de laboratoires de diagnostic dans les ZS de Komanda, Nizi, Mambasa et Nia-Nia (Ituri); suspect-deaths headline 63 agrees with Tableau 3 and the INRB CSV (no discrepancy this vintage); SitRep 049 (2 July) directly follows 048 (1 July), no gap; beyond cut-off"
050,2026-07-03,,,1528,492,,,,185,67,628,239,"confirmed-based format; banner Cumul cas confirmes 1528 (Donnees reactualisees a la suite du processus de nettoyage et d'harmonisation de la base DHIS2), Cumul deces parmi les confirmes 492 (32,2% letalite), patients en isolement-hospitalisation 628 (89,4% bed occupancy; byte-identical to 2 July 628/89,4% and this vintage publishes NO Tableau 6 patient-movement table and NO Patients en isolement Fin J table - likely a non-refreshed carry-forward, so recorded here but EXCLUDED from the fitted isolation/bed-capacity series, per the 30 June precedent), cumul gueris 239 (+10 over 229), cas suspects du jour 185 (67 deces), taux de suivi des contacts 81,5%; 26 new confirmed incl 9 community deaths (Ituri 21 incl 6 deaths: Rwampara 11, Bunia 5, Mongbwalu 3, Mangala 2; Nord-Kivu 5 incl 3 deaths: Butembo 2, Musienene 1, Masereka 1, Beni 1), net cumulative +26 (1502->1528); plus 10 in-care CTE deaths (Ituri 8: 3 Mongbwalu, 2 ISTM Nyakunde, 1 Bunia, 1 Elikya, 1 SOTA; Nord-Kivu 2 CTE Katwa), net deces +19 (473->492) = 9 community + 10 CTE; spatial table Tableau 1 Ituri 1387/411, Nord-Kivu 138/80, Sud-Kivu 3/1 = 1528/492; 36/104 ZS touchees unchanged, aucune nouvelle ZS; SitRep 050 publishes NO Tableau 6 patient-movement table and no isolement Fin J table, so the treatment-flow and isolation series are not extended past 2 July; 10 gueris declared (Ituri 9: 3 CTE ISTM, 3 CTE Mongbwalu, 2 CT Bambu, 1 CTE Nyakunde; Nord-Kivu 1 CTE Katwa); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 54 (38,8% positive n=21) + Nord-Kivu 93 (5,4% positive n=5) + Sud-Kivu 0 analysed (5 collectes, encours analyses - contributes 0 like a pending province) = 147 (clean national total - every reporting province with completed analysis gives a count; confirmed increment 26 <= 147, and the 24h positives 21+5+0=26 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; SitRep 050 (3 July) directly follows 049 (2 July), no gap; beyond cut-off"
051,2026-07-04,,,1561,506,,,,354,110,628,254,"confirmed-based format; banner Cumul cas confirmes 1561 (Donnees reactualisees a la suite du processus de nettoyage et d'harmonisation de la base DHIS2), Cumul deces parmi les confirmes 506 (32,4% letalite), patients en isolement-hospitalisation 628 (89,4% bed occupancy; byte-identical to 2-3 July 628/89,4% and this vintage publishes NO Tableau 6 patient-movement table and NO Patients en isolement Fin J table - likely a non-refreshed carry-forward, so recorded here but EXCLUDED from the fitted isolation/bed-capacity series, per the 30 June/3 July precedent), cumul gueris 254 (+15 over 239, all Ituri declared gueris: 4 CTE Rwampara, 3 CTE Mongbwalu, 3 CTE Bunia, 2 CTE Komanda, 1 CTE CME, 1 CTE Elikya, 1 CTE Nyankunde), cas suspects du jour 354 (110 deces; Tableau 3 Total des cas suspects du jour 354, alertes validees Decedees 110 = Ituri 76 + Nord-Kivu 34 + Sud-Kivu 0; cas suspects vivants valides 244 = Ituri 199 + Nord-Kivu 43 + Sud-Kivu 2), taux de suivi des contacts 81,6%; 33 new confirmed incl 6 community deaths (Ituri 30 incl 6 deaths: Rwampara 11, Bunia 7, Nizi 7, Komanda 3, Mongbwalu 2; Nord-Kivu 3 incl 0 deaths: Musienene 2, Katwa 1), net cumulative +33 (1528->1561); plus 8 in-care CTE deaths (Ituri 7: 2 CTE Bunia, 2 CTE Mongbwalu, 2 CTE Elikya, 1 CTE Komanda; Nord-Kivu 1: CTE Katwa), net deces +14 (492->506) = 6 community + 8 CTE; spatial table Tableau 1 Ituri 1417/424, Nord-Kivu 141/81, Sud-Kivu 3/1 = 1561/506; 36/104 ZS touchees unchanged (Ituri 24, Nord-Kivu 11, Sud-Kivu 1), aucune nouvelle ZS; debut des essais cliniques au CTE CME (ZS Rwampara, Ituri); ouverture officielle du CTE Beni (capacite 20 lits); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 99 (30,3% positive n=30) + Nord-Kivu 73 (4,1% positive n=3) + Sud-Kivu 0 analysed (2 collectes, encours analyses - contributes 0 like a pending province) = 172 (clean national total - every reporting province with completed analysis gives a count; confirmed increment 33 <= 172, and the 24h positives 30+3+0=33 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; suspect-deaths headline 110 agrees with Tableau 3 (no discrepancy this vintage); SitRep 051 (4 July) directly follows 050 (3 July), no gap; beyond cut-off"
052,2026-07-05,,,1624,521,,,,135,23,646,273,"confirmed-based format; banner Cumul cas confirmes 1624 (Donnees reactualisees a la suite du processus de nettoyage et d'harmonisation de la base DHIS2), Cumul deces parmi les confirmes 521 (32,1% letalite), patients en isolement-hospitalisation 646 (94,2% bed occupancy; patient-movement Fin J Ituri 477 / Nord-Kivu 148 / Sud-Kivu 21 = 646, dont confirmes 205, dont suspects 441 - a fresh value corroborated by the patient-movement table, distinct from the 628 carried 2-4 July), cumul gueris 273, cas suspects du jour 135 (23 deces), taux de suivi des contacts 77,5%; 63 new confirmed incl 8 community deaths (Ituri 60 incl 8 deaths: Bunia 14, Mongbwalu 10, Nia-Nia 8, Bambu 7, Mangala 7, Nizi 6, Rwampara 5, Fataki 1, Rimba 1, Nyankunde 1; Nord-Kivu 3 incl 0 deaths: Musienene 2, Masereka 1), net cumulative +63 (1561->1624); plus 7 in-care CTE deaths in Ituri (2 CTE Nyankunde, 2 CTE Mongbwalu, 1 CTE CME, 1 CTE Bunia, 1 CT Bambu), net deces +15 (506->521) = 8 community + 7 CTE; 20 gueris declares (all Ituri: 4 CTE CME, 4 CTE Elikya, 3 CTE Mongbwalu, 3 CTE Nyankunde, 3 CT Sota, 2 CTE Rwampara, 1 CT Bambu); spatial table Tableau 1 Ituri 1477/439, Nord-Kivu 144/81, Sud-Kivu 3/1 = 1624/521; 36/104 ZS touchees unchanged (Ituri 24, Nord-Kivu 11, Sud-Kivu 1), aucune nouvelle ZS; note: arret des activites de la riposte dans la ZS de Bunia par les prestataires (greve); patient-movement table PRESENT (au-lit J-1 630, admissions 104, deces 10, non-cas 54, gueris 20, evades 4, transferes 0, total sorties 88, Fin J 646; balance 630+104-88=646 closes); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 168 (35,7% positive n=60) + Nord-Kivu 82 (3,6% positive n=3) + Sud-Kivu 0 analysed (2 collectes, en cours d'analyse - contributes 0 like a pending province) = 250 (clean national total - every reporting province with completed analysis gives a count; confirmed increment 63 <= 250, and the 24h positives 60+3+0=63 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; suspect-deaths headline 23 agrees with the INRB national_cumulative_suspected_deaths DRC value (no discrepancy this vintage); PDF headline confirmed 1624 / deaths 521 / cas suspects du jour 135 all match the INRB national CSVs exactly; SitRep 052 (5 July) directly follows 051 (4 July), no gap; beyond cut-off"
053,2026-07-06,,,1708,580,,,,237,70,680,280,"confirmed-based (bullet-format FAITS SAILLANTS) vintage; banner Cumul cas confirmes 1708 (Donnees reactualisees a la suite du processus de nettoyage et d'harmonisation de la base DHIS2), Cumul deces parmi les confirmes 580 (34,0% letalite), patients en isolement-hospitalisation 680 (patient-movement Fin J Ituri 508 / Nord-Kivu 148 / Sud-Kivu 24 = 680, dont confirmes 218, dont suspects 470, taux d'occupation 84,1% - a fresh value corroborated by the patient-movement table), cumul gueris 280, cas suspects du jour 237 (70 deces), taux de suivi des contacts 75,2%; 84 new confirmed and 59 deaths (84,7% communautaires) = Ituri 79 cas / 52 deces + Nord-Kivu 5 cas / 7 deces (per-ZS new-confirmed breakdown not printed in this bullet-format vintage), net cumulative +84 (1624->1708); plus 9 in-care CTE deaths (Ituri 5: 2 CTE ISTM, 1 CTE Mongbwalu, 1 CTE Bunia, 1 CT Sota; Nord-Kivu 4: 2 CTE Beni, 1 CTE Butembo, 1 CTE Katwa), net deces +59 (521->580) = ~50 community + 9 CTE; 7 gueris declares (all Ituri: 1 CTE CME, 3 CTE Mongbwalu, 1 CTE ISTM, 2 CT Logo); spatial table Tableau 1 Ituri 1556/491, Nord-Kivu 149/88, Sud-Kivu 3/1 = 1708/580; 1 new ZS (Boga, Ituri; 37/104 total: Ituri 25, Nord-Kivu 11, Sud-Kivu 1); note: poursuite de la greve des prestataires des ZS de Bunia et Rwampara; patient-movement table PRESENT (au-lit J-1 688, admissions 102, deces 17, non-cas 76, gueris 7, evades 3, transferes 0, total sorties 102, Fin J 680); balance 688+102-102=688 does NOT close to Fin J 680 (off by 8, an internal patient-movement table inconsistency this vintage; the page-1 headline / Fin J 680 is authoritative and matches the INRB CSV); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 172 (45,9% positive n=79) + Nord-Kivu 77 (6,5% positive n=5) + Sud-Kivu 0 analysed (3 collectes, encours analyses - contributes 0 like a pending province) = 249 (clean national total - every reporting province with completed analysis gives a count; confirmed increment 84 <= 249, and the 24h positives 79+5+0=84 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; suspect-deaths headline 70 agrees with the INRB national_cumulative_suspected_deaths DRC value (no discrepancy this vintage); PDF headline confirmed 1708 / deaths 580 / cas suspects du jour 237 all match the INRB national CSVs exactly; SitRep 053 (6 July) directly follows 052 (5 July), no gap; beyond cut-off"
054,2026-07-07,,,1759,600,,,,304,92,750,285,"confirmed-based (bullet-format FAITS SAILLANTS) vintage; banner Cumul cas confirmes 1759 (Donnees reactualisees a la suite du processus de nettoyage et d'harmonisation de la base DHIS2), Cumul deces parmi les confirmes 600 (34,1% letalite), patients en isolement-hospitalisation 750 (94% bed occupancy; Tableau 7 Patients en isolement Fin J Ituri 518 / Nord-Kivu 193 / Sud-Kivu 39 = 750, dont confirmes 232, dont suspects 518 - a fresh value corroborated by the patient-movement table; the section-4.5 narrative sentence says 694 malades en isolement, but 694 is the Tableau 7 au-lit J-1 value and 232+518=750 = the page-1 headline, so 750 is authoritative), cumul gueris 285, cas suspects du jour 304 (92 deces), taux de suivi des contacts 80,0%; 51 new confirmed and 20 deaths (55% communautaires) = Ituri 45 cas / 20 deces + Nord-Kivu 6 cas / 0 deces (per-ZS new-confirmed breakdown not printed in this bullet-format vintage), net cumulative +51 (1708->1759); plus 9 in-care CTE/CT deaths in Ituri (4 CT Nizi, 2 CTE Bunia, 1 CTE Mongbwalu, 1 CTE ISTM, 1 CTE Rwampara), net deces +20 (580->600) = ~11 community + 9 CTE; 5 gueris declares (all Ituri: 2 CT SOTA, 1 CTE Rwampara, 1 CTE Mongbwalu, 1 CTE Nyakunde); spatial table Tableau 1 Ituri 1601/511, Nord-Kivu 155/88, Sud-Kivu 3/1 = 1759/600 (Tableau 1 letalite Ituri 31,9%, Nord-Kivu 56,8%, Sud-Kivu 33,3%, total 34,1%); 37/104 ZS touchees (Ituri 25, Nord-Kivu 11, Sud-Kivu 1), unchanged vs 053 - the FAITS SAILLANTS text mentions a nouvelle zone de sante touchee en Ituri but the total remains 37/104 and the Ituri ZS list is unchanged at 25; EXCLUSION note: 2 cas confirmes a Kisangani (Tshopo) - 1 lie a Nia-Nia ZS, 1 sans lien geographique apparent - explicitly NOT included in the 1759 total this vintage pending validation RT-PCR Altona, to be added in a later SitRep; also 17 cas confirmes non encore ventiles par zone de sante (risk table item 5); patient-movement Tableau 7 PRESENT (au-lit J-1 694 = Ituri 505 + Nord-Kivu 165 + Sud-Kivu 24, admissions 118 = 71+32+15, deces 16 = 16+0+0, non-cas 32 = 28+4+0, gueris 5 = 5+0+0, evades 9 = 9+0+0, transferes HGR 0, total sorties 62 = 58+4+0, Fin J 750 = 518+193+39; balance 694+118-62=750 closes exactly); the patient-movement treatment-flow series (admissions 118, in-care deces 16, non-cas 32, evades 9, au-lit J-1 694) ARE extended to 7 July in observations.toml, together with the 5-6 July tables from SitReps 052/053 (per maintainer request); the isolement Fin J stock 750 (94% occupancy, issue #221) and its derived bed-capacity (798 beds) ARE also extended to 5-7 July, required so the treatment-flow days fall within the occupancy window; only cumul-recovered 285 (issue #246) remains not fitted and is recorded here for reference;no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 147 (30,6% positive n=45) + Nord-Kivu 90 (6,7% positive n=6) + Sud-Kivu 0 analysed (3 collectes, encours analyses - contributes 0 like a pending province) = 237 (clean national total - every reporting province with completed analysis gives a count; confirmed increment 51 <= 237, and the 24h positives 45+6+0=51 equal the day new-confirmed headline), INCLUDED in the 24h analysed series; suspect-deaths headline 92 agrees with the INRB national_cumulative_suspected_deaths DRC value; PDF headline confirmed 1759 / deaths 600 / cas suspects du jour 304 all match the INRB national CSVs exactly; SitRep 054 (7 July) directly follows 053 (6 July), no gap; beyond cut-off"
055,2026-07-08,,,1792,625,,,,227,60,764,295,"confirmed-based format; banner Cumul cas confirmes 1792, Cumul deces parmi les confirmes 625 (34,9% letalite), patients en isolement-hospitalisation 764 (95,3% bed occupancy), cumul gueris 295 (+10 over 285; FAITS SAILLANTS 10 declares gueris - Ituri: 2 CT Sota, 1 CTE Rwampara, 1 CTE Mongbwalu, 1 CTE Nyankunde; Nord-Kivu: 1 HGR Oicha, 1 HGR Mabalako), cas suspects du jour 227 (60 deces), taux de suivi des contacts 78,6%; over 24h 33 new confirmed and 25 deaths (44% community) - Ituri 30 cas et 24 deces, Nord-Kivu 3 cas et 1 deces; net cumulative +33 (1759->1792); 14 in-care CTE/CT deaths in Ituri (3 CTE Bunia, 3 CTE Rwampara, 3 CT Nizi, 2 CTE Mongbwalu, 1 CTE Nyankunde, 1 CTE CME, 1 CT Sota); no new ZS (37/104 unchanged); Ituri concentrates 91,0% of cases (n=1 631) and 85,6% of deaths (n=535, letalite brute 32,8%); spatial table Ituri 1631/535, Nord-Kivu 158/89, Sud-Kivu 3/1 = 1792/625; 2 cases detected at Kisangani (Tshopo, one linked to Nia-Nia ZS) still excluded pending validation; headline confirmed 1792 and deaths 625 match the INRB national CSV, new-suspect 227 and suspect-deaths 60 match the INRB national_cumulative_suspected series (no discrepancy); lab 4.3 national 24h analysed Ituri 157 (19,1% positive n=30) + Nord-Kivu 113 (2,7% positive n=3) + Sud-Kivu 0 analysed (2 collected, en cours analyses - contributes 0 like a pending province) = 270 (clean national total; confirmed increment 33 <= 270, and the 24h positives 30+3+0=33 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; Tableau 7 Mouvement des patients (Ensemble) au-lit J-1 751, admissions 151, deces (susp/conf) 25, non-cas 95, gueris 10, evades 7, transf HGR 1, total sorties 138, Fin J isolement 764 (balance 751+151-138=764 closes; Fin J Ituri 540 + Nord-Kivu 197 + Sud-Kivu 27 = 764, occupancy 95,3%); beyond cut-off"
056,2026-07-09,,,1830,648,,,,284,81,780,300,"confirmed-based format; banner Cumul cas confirmes 1830, Cumul deces parmi les confirmes 648 (35,4% lethality), patients en isolement 780 (100,3% bed occupancy; Tableau 7 Patients en isolement Fin J Ituri 536 + Nord-Kivu 225 + Sud-Kivu 19 = 780, dont confirmes (NC+AC) 238 + dont suspects 542 = 780), cumul gueris 300, cas suspects du jour 284 (81 deces; Tableau 3 Decedees Ituri 59 + Nord-Kivu 22 + Sud-Kivu 0 = 81), taux de suivi contacts 78,1%; 38 new confirmed incl 23 deaths (73,9% communautaires; Ituri 32 incl 18 deaths, Nord-Kivu 6 incl 5 deaths), net cumulative +38 (1792->1830), net deaths +23 (625->648); 6 in-care CTE deaths in Ituri (4 CTE Bunia, 2 CTE Mongbwalu); spatial table Ituri 1663/553, Nord-Kivu 164/94, Sud-Kivu 3/1 = 1830/648; no new zone de sante (37/104); Tableau 7 admissions 89 (Ituri 43 + Nord-Kivu 44 + Sud-Kivu 2), deces 10, non-cas 41, gueris 5, evades 4, transferes HGR 2, total sorties 62, au-lit J-1 755 (540+188+27); balance 755+89-62=782 overshoots Fin J 780 by 2 (minor internal Tableau 7 inconsistency), page-1 headline 780 used for isolation; bed-capacity NOT fitted this vintage (100,3% occupancy implies capacity 778 < occupancy 780); lab 4.3 national 24h analysed Ituri 104 (30,8% positive n=32) + Nord-Kivu 108 (5,6% positive n=6) + Sud-Kivu 0 (2 collected, en cours d'analyse) = 212 (clean national total; confirmed increment 38 <= 212, 24h positives 32+6+0=38 = day new-confirmed headline), INCLUDED in the 24h analysed series; beyond cut-off"
057,2026-07-10,,,1873,672,,,,299,91,763,306,"confirmed-based format; banner Cumul cas confirmes 1873, Cumul deces parmi les confirmes 672 (35,9% lethality), patients en isolement 763 (95,1% bed occupancy; Tableau 7 Patients en isolement Fin J Ituri 543 + Nord-Kivu 196 + Sud-Kivu 24 = 763, dont confirmes (NC+AC) 259 + dont suspects 504 = 763), cumul gueris 306, cas suspects du jour 299 (91 deces; Tableau 3 Decedees Ituri 65 + Nord-Kivu 26 + Sud-Kivu 0 = 91), taux de suivi contacts 71,7%; 43 new confirmed incl 24 deaths (62,5% communautaires; Ituri 42 incl 24 deaths, Nord-Kivu 1 cas), net cumulative +43 (1830->1873), net deaths +24 (648->672); 9 in-care CTE deaths in Ituri (3 CTE CME, 2 CTE Elikya, 1 CTE Bunia, 1 CTE ISTM, 1 CT Sota, 1 CT Nizi); Tableau 2 Ituri 1705/577, Nord-Kivu 165/94, Sud-Kivu 3/1 = 1873/672; Haut-Uele 1/1 (Wamba) and Tshopo 4/2 (Makiso-Kisangani 2/2, Mangobo 1/0, Lubunga 1/0) appear for the first time but are starred 'non comptabilise car deja inclus dans les cas de Nia-Nia' so NOT added to the national total (epidemiologically linked to Nia-Nia/Ituri PK51 mining site); 4 new zones de sante -> 41/104 (Wamba, Makiso, Lubunga, Mangobo); Tableau 7 admissions 110 (Ituri 69 + Nord-Kivu 36 + Sud-Kivu 5), deces 18, non-cas 92, gueris 6, evades 9, transferes HGR 1, total sorties 126, au-lit J-1 779 (535+225+19); balance 779+110-126=763 closes exactly; bed capacity 763/0.951=802; lab 4.3 national 24h analysed Ituri 177 (23,7% positive n=42) + Nord-Kivu 54 (1,9% positive n=1) + Sud-Kivu 0 (5 collected, en cours d'analyse) = 231 (clean national total; confirmed increment 43 <= 231, 24h positives 42+1+0=43 = day new-confirmed headline), INCLUDED in the 24h analysed series; SitRep 057 (10 July) directly follows 056 (9 July), no gap; beyond cut-off"
